"","name","area","value","footnote_codes","state","county","cbsa","rpp.in.100.dollars","ratio"
"1778","Nashville-Davidson--Murfreesboro--Franklin, TN","0034980",16.72,NA,47,47169,34980,106.6098081,6.37618469497608
"1779","Nashville-Davidson--Murfreesboro--Franklin, TN","0034980",16.72,NA,47,47119,34980,106.6098081,6.37618469497608
"1780","Nashville-Davidson--Murfreesboro--Franklin, TN","0034980",16.72,NA,47,47165,34980,106.6098081,6.37618469497608
"1781","Nashville-Davidson--Murfreesboro--Franklin, TN","0034980",16.72,NA,47,47037,34980,106.6098081,6.37618469497608
"1782","Nashville-Davidson--Murfreesboro--Franklin, TN","0034980",16.72,NA,47,47111,34980,106.6098081,6.37618469497608
"102","Appleton, WI","0011540",16.81,NA,55,55087,11540,107.2961373,6.38287550862582
"103","Appleton, WI","0011540",16.81,NA,55,55015,11540,107.2961373,6.38287550862582
"2996","Wenatchee, WA","0048300",16.3,NA,53,53017,48300,104.1666667,6.39059304907975
"2997","Wenatchee, WA","0048300",16.3,NA,53,53007,48300,104.1666667,6.39059304907975
"2426","Sheboygan, WI","0043100",17.07,NA,55,55117,43100,109.1703057,6.39544848857645
"705","Glens Falls, NY","0024020",16.07,NA,36,36113,24020,102.9866117,6.40862549471064
"706","Glens Falls, NY","0024020",16.07,NA,36,36115,24020,102.9866117,6.40862549471064
"1396","Medford, OR","0032780",15.85,NA,41,41029,32780,101.6260163,6.41173604416404
"81","Albuquerque, NM","0010740",16.05,NA,35,35057,10740,102.9866117,6.41661132087227
"82","Albuquerque, NM","0010740",16.05,NA,35,35001,10740,102.9866117,6.41661132087227
"83","Albuquerque, NM","0010740",16.05,NA,35,35061,10740,102.9866117,6.41661132087227
"84","Albuquerque, NM","0010740",16.05,NA,35,35043,10740,102.9866117,6.41661132087227
"245","Bend-Redmond, OR","0013460",16.15,NA,41,41017,13460,103.8421599,6.42985510216718
"2943","Warner Robins, GA","0047580",17.27,NA,13,13225,47580,111.1111111,6.43376439490446
"2944","Warner Robins, GA","0047580",17.27,NA,13,13153,47580,111.1111111,6.43376439490446
"2945","Warner Robins, GA","0047580",17.27,NA,13,13235,47580,111.1111111,6.43376439490446
"330","Chambersburg-Waynesboro, PA","0016540",16.5,NA,42,42055,16540,106.2699256,6.44060155151515
"714","Grand Junction, CO","0024300",16.37,NA,8,8077,24300,105.4852321,6.44381381185095
"722","Green Bay, WI","0024580",16.87,NA,55,55009,24580,108.8139282,6.45014393598103
"723","Green Bay, WI","0024580",16.87,NA,55,55061,24580,108.8139282,6.45014393598103
"724","Green Bay, WI","0024580",16.87,NA,55,55083,24580,108.8139282,6.45014393598103
"249","Binghamton, NY","0013780",16.28,NA,36,36107,13780,105.1524711,6.4589969963145
"250","Binghamton, NY","0013780",16.28,NA,36,36007,13780,105.1524711,6.4589969963145
"1406","Merced, CA","0032900",16.15,NA,6,6047,32900,104.3841336,6.46341384520124
"508","Dayton, OH","0019380",17,NA,39,39109,19380,109.8901099,6.46412411176471
"509","Dayton, OH","0019380",17,NA,39,39057,19380,109.8901099,6.46412411176471
"510","Dayton, OH","0019380",17,NA,39,39113,19380,109.8901099,6.46412411176471
"2076","Ogden-Clearfield, UT","0036260",16.12,NA,49,49057,36260,104.2752868,6.46869024813896
"2077","Ogden-Clearfield, UT","0036260",16.12,NA,49,49011,36260,104.2752868,6.46869024813896
"2078","Ogden-Clearfield, UT","0036260",16.12,NA,49,49003,36260,104.2752868,6.46869024813896
"2079","Ogden-Clearfield, UT","0036260",16.12,NA,49,49029,36260,104.2752868,6.46869024813896
"1030","Jacksonville, FL","0027260",16.07,NA,12,12019,27260,104.0582726,6.47531254511512
"1031","Jacksonville, FL","0027260",16.07,NA,12,12089,27260,104.0582726,6.47531254511512
"1032","Jacksonville, FL","0027260",16.07,NA,12,12003,27260,104.0582726,6.47531254511512
"1033","Jacksonville, FL","0027260",16.07,NA,12,12031,27260,104.0582726,6.47531254511512
"1034","Jacksonville, FL","0027260",16.07,NA,12,12109,27260,104.0582726,6.47531254511512
"2816","Tucson, AZ","0046060",15.87,NA,4,4019,46060,102.7749229,6.47605059231254
"1284","Lebanon, PA","0030140",16.31,NA,42,42075,30140,105.8201058,6.48805063151441
"708","Grand Forks, ND-MN","0024220",16.59,NA,38,38035,24220,107.6426265,6.48840424954792
